
19_7_2024:16_44_56: Successfully imported pointsbet dependencys
19_7_2024:16_44_56: Successfully imported sportsbett dependencys
19_7_2024:16_44_56: Successfully imported tab dependencys
19_7_2024:16_44_56: [Errno 2] No such file or directory: 'C:\\Users\\William\\Desktop\\PersonalProjects\\Arbie\\Arbie 3.1\\betshock_v2\\backend\\intergrations\\engine\\__pycache__\\__pycache__.py'
19_7_2024:16_44_56: starting multiTask on Arbie.
19_7_2024:16_45_23: multiTask on Arbie succeeded.
19_7_2024:16_55_29: Initalizeing task schedular
19_7_2024:16_55_29: No module named 'bs4'
19_7_2024:16_55_29: Successfully imported betfair dependencys
19_7_2024:16_55_29: Successfully imported betm dependencys
19_7_2024:16_55_29: Successfully imported boombet dependencys
19_7_2024:16_55_29: Successfully imported diamondbet dependencys
19_7_2024:16_55_29: Successfully imported ladbrokes dependencys
19_7_2024:16_55_29: Successfully imported neds dependencys
19_7_2024:16_55_29: Successfully imported palmerbet dependencys
19_7_2024:16_55_29: Successfully imported playup dependencys
19_7_2024:16_55_29: Successfully imported pointsbet dependencys
19_7_2024:16_55_29: Successfully imported sportsbett dependencys
19_7_2024:16_55_29: Successfully imported tab dependencys
19_7_2024:16_55_29: [Errno 2] No such file or directory: 'C:\\Users\\William\\Desktop\\PersonalProjects\\Arbie\\Arbie 3.1\\betshock_v2\\backend\\intergrations\\engine\\__pycache__\\__pycache__.py'
19_7_2024:16_55_29: starting multiTask on Arbie.
19_7_2024:16_55_57: multiTask on Arbie succeeded.
19_7_2024:16_55_57: 'databaseOperations' object has no attribute 'conn'
19_7_2024:16_55_57: multiTask on Arbie failed.
19_7_2024:16_56_2: Initalizeing task schedular
19_7_2024:16_56_3: No module named 'bs4'
19_7_2024:16_56_3: Successfully imported betfair dependencys
19_7_2024:16_56_3: Successfully imported betm dependencys
19_7_2024:16_56_3: Successfully imported boombet dependencys
19_7_2024:16_56_3: Successfully imported diamondbet dependencys
19_7_2024:16_56_3: Successfully imported ladbrokes dependencys
19_7_2024:16_56_3: Successfully imported neds dependencys
19_7_2024:16_56_3: Successfully imported palmerbet dependencys
19_7_2024:16_56_3: Successfully imported playup dependencys
19_7_2024:16_56_3: Successfully imported pointsbet dependencys
19_7_2024:16_56_3: Successfully imported sportsbett dependencys
19_7_2024:16_56_3: Successfully imported tab dependencys
19_7_2024:16_56_3: [Errno 2] No such file or directory: 'C:\\Users\\William\\Desktop\\PersonalProjects\\Arbie\\Arbie 3.1\\betshock_v2\\backend\\intergrations\\engine\\__pycache__\\__pycache__.py'
19_7_2024:16_56_3: starting multiTask on Arbie.
19_7_2024:16_56_28: multiTask on Arbie succeeded.
19_7_2024:16_56_28: 'databaseOperations' object has no attribute 'conn'
19_7_2024:16_56_28: multiTask on Arbie failed.
19_7_2024:16_56_56: Initalizeing task schedular
19_7_2024:16_56_56: No module named 'bs4'
19_7_2024:16_56_56: Successfully imported betfair dependencys
19_7_2024:16_56_56: Successfully imported betm dependencys
19_7_2024:16_56_56: Successfully imported boombet dependencys
19_7_2024:16_56_56: Successfully imported diamondbet dependencys
19_7_2024:16_56_56: Successfully imported ladbrokes dependencys
19_7_2024:16_56_56: Successfully imported neds dependencys
19_7_2024:16_56_56: Successfully imported palmerbet dependencys
19_7_2024:16_56_56: Successfully imported playup dependencys
19_7_2024:16_56_56: Successfully imported pointsbet dependencys
19_7_2024:16_56_56: Successfully imported sportsbett dependencys
19_7_2024:16_56_56: Successfully imported tab dependencys
19_7_2024:16_56_56: [Errno 2] No such file or directory: 'C:\\Users\\William\\Desktop\\PersonalProjects\\Arbie\\Arbie 3.1\\betshock_v2\\backend\\intergrations\\engine\\__pycache__\\__pycache__.py'
19_7_2024:16_56_56: starting multiTask on Arbie.
19_7_2024:16_57_24: multiTask on Arbie succeeded.
19_7_2024:16_57_24: 'databaseOperations' object has no attribute 'conn'
19_7_2024:16_57_24: multiTask on Arbie failed.
19_7_2024:16_58_3: Initalizeing task schedular
19_7_2024:16_58_3: No module named 'bs4'
19_7_2024:16_58_3: Successfully imported betfair dependencys
19_7_2024:16_58_3: Successfully imported betm dependencys
19_7_2024:16_58_3: Successfully imported boombet dependencys
19_7_2024:16_58_3: Successfully imported diamondbet dependencys
19_7_2024:16_58_3: Successfully imported ladbrokes dependencys
19_7_2024:16_58_3: Successfully imported neds dependencys
19_7_2024:16_58_3: Successfully imported palmerbet dependencys
19_7_2024:16_58_3: Successfully imported playup dependencys
19_7_2024:16_58_3: Successfully imported pointsbet dependencys
19_7_2024:16_58_3: Successfully imported sportsbett dependencys
19_7_2024:16_58_3: Successfully imported tab dependencys
19_7_2024:16_58_3: [Errno 2] No such file or directory: 'C:\\Users\\William\\Desktop\\PersonalProjects\\Arbie\\Arbie 3.1\\betshock_v2\\backend\\intergrations\\engine\\__pycache__\\__pycache__.py'
19_7_2024:16_58_3: starting multiTask on Arbie.
19_7_2024:16_58_30: multiTask on Arbie succeeded.
19_7_2024:17_0_58: Initalizeing task schedular
19_7_2024:17_0_58: No module named 'bs4'
19_7_2024:17_0_58: Successfully imported betfair dependencys
19_7_2024:17_0_58: Successfully imported betm dependencys
19_7_2024:17_0_58: Successfully imported boombet dependencys
19_7_2024:17_0_58: Successfully imported diamondbet dependencys
19_7_2024:17_0_58: Successfully imported ladbrokes dependencys
19_7_2024:17_0_58: Successfully imported neds dependencys
19_7_2024:17_0_58: Successfully imported palmerbet dependencys
19_7_2024:17_0_58: Successfully imported playup dependencys
19_7_2024:17_0_58: Successfully imported pointsbet dependencys
19_7_2024:17_0_58: Successfully imported sportsbett dependencys
19_7_2024:17_0_58: Successfully imported tab dependencys
19_7_2024:17_0_58: [Errno 2] No such file or directory: 'C:\\Users\\William\\Desktop\\PersonalProjects\\Arbie\\Arbie 3.1\\betshock_v2\\backend\\intergrations\\engine\\__pycache__\\__pycache__.py'
19_7_2024:17_0_58: starting multiTask on Arbie.
19_7_2024:17_1_27: multiTask on Arbie succeeded.
19_7_2024:17_1_27: 'databaseOperations' object has no attribute 'conn'
19_7_2024:17_1_27: multiTask on Arbie failed.
19_7_2024:17_1_56: Initalizeing task schedular
19_7_2024:17_1_57: No module named 'bs4'
19_7_2024:17_1_57: Successfully imported betfair dependencys
19_7_2024:17_1_57: Successfully imported betm dependencys
19_7_2024:17_1_57: Successfully imported boombet dependencys
19_7_2024:17_1_57: Successfully imported diamondbet dependencys
19_7_2024:17_1_57: Successfully imported ladbrokes dependencys
19_7_2024:17_1_57: Successfully imported neds dependencys
19_7_2024:17_1_57: Successfully imported palmerbet dependencys
19_7_2024:17_1_57: Successfully imported playup dependencys
19_7_2024:17_1_57: Successfully imported pointsbet dependencys
19_7_2024:17_1_57: Successfully imported sportsbett dependencys
19_7_2024:17_1_57: Successfully imported tab dependencys
19_7_2024:17_1_57: [Errno 2] No such file or directory: 'C:\\Users\\William\\Desktop\\PersonalProjects\\Arbie\\Arbie 3.1\\betshock_v2\\backend\\intergrations\\engine\\__pycache__\\__pycache__.py'
19_7_2024:17_1_57: starting multiTask on Arbie.
19_7_2024:17_2_25: multiTask on Arbie succeeded.
19_7_2024:17_11_54: Initalizeing task schedular
19_7_2024:17_11_54: No module named 'bs4'
19_7_2024:17_11_54: Successfully imported betfair dependencys
19_7_2024:17_11_54: Successfully imported betm dependencys
19_7_2024:17_11_54: Successfully imported boombet dependencys
19_7_2024:17_11_54: Successfully imported diamondbet dependencys
19_7_2024:17_11_54: Successfully imported ladbrokes dependencys
19_7_2024:17_11_54: Successfully imported neds dependencys
19_7_2024:17_11_55: Successfully imported palmerbet dependencys
19_7_2024:17_11_55: Successfully imported playup dependencys
19_7_2024:17_11_55: Successfully imported pointsbet dependencys
19_7_2024:17_11_55: Successfully imported sportsbett dependencys
19_7_2024:17_11_55: Successfully imported tab dependencys
19_7_2024:17_11_55: [Errno 2] No such file or directory: 'C:\\Users\\William\\Desktop\\PersonalProjects\\Arbie\\Arbie 3.1\\betshock_v2\\backend\\intergrations\\engine\\__pycache__\\__pycache__.py'
19_7_2024:17_11_55: starting multiTask on Arbie.
19_7_2024:17_12_21: multiTask on Arbie succeeded.
19_7_2024:17_13_11: Initalizeing task schedular
19_7_2024:17_13_11: No module named 'bs4'
19_7_2024:17_13_11: Successfully imported betfair dependencys
19_7_2024:17_13_11: Successfully imported betm dependencys
19_7_2024:17_13_11: Successfully imported boombet dependencys
19_7_2024:17_13_11: Successfully imported diamondbet dependencys
19_7_2024:17_13_11: Successfully imported ladbrokes dependencys
19_7_2024:17_13_11: Successfully imported neds dependencys
19_7_2024:17_13_11: Successfully imported palmerbet dependencys
19_7_2024:17_13_11: Successfully imported playup dependencys
19_7_2024:17_13_11: Successfully imported pointsbet dependencys
19_7_2024:17_13_11: Successfully imported sportsbett dependencys
19_7_2024:17_13_11: Successfully imported tab dependencys
19_7_2024:17_13_11: [Errno 2] No such file or directory: 'C:\\Users\\William\\Desktop\\PersonalProjects\\Arbie\\Arbie 3.1\\betshock_v2\\backend\\intergrations\\engine\\__pycache__\\__pycache__.py'
19_7_2024:17_13_11: starting multiTask on Arbie.
19_7_2024:17_13_38: multiTask on Arbie succeeded.
19_7_2024:17_15_38: Initalizeing task schedular
19_7_2024:17_15_38: No module named 'bs4'
19_7_2024:17_15_38: Successfully imported betfair dependencys
19_7_2024:17_15_38: Successfully imported betm dependencys
19_7_2024:17_15_38: Successfully imported boombet dependencys
19_7_2024:17_15_38: Successfully imported diamondbet dependencys
19_7_2024:17_15_38: Successfully imported ladbrokes dependencys
19_7_2024:17_15_38: Successfully imported neds dependencys
19_7_2024:17_15_38: Successfully imported palmerbet dependencys
19_7_2024:17_15_38: Successfully imported playup dependencys
19_7_2024:17_15_38: Successfully imported pointsbet dependencys
19_7_2024:17_15_38: Successfully imported sportsbett dependencys
19_7_2024:17_15_38: Successfully imported tab dependencys
19_7_2024:17_15_38: [Errno 2] No such file or directory: 'C:\\Users\\William\\Desktop\\PersonalProjects\\Arbie\\Arbie 3.1\\betshock_v2\\backend\\intergrations\\engine\\__pycache__\\__pycache__.py'
19_7_2024:17_15_38: starting multiTask on Arbie.
19_7_2024:17_16_4: multiTask on Arbie succeeded.
19_7_2024:17_16_58: Initalizeing task schedular
19_7_2024:17_16_58: No module named 'bs4'
19_7_2024:17_16_58: Successfully imported betfair dependencys
19_7_2024:17_16_58: Successfully imported betm dependencys
19_7_2024:17_16_58: Successfully imported boombet dependencys
19_7_2024:17_16_58: Successfully imported diamondbet dependencys
19_7_2024:17_16_58: Successfully imported ladbrokes dependencys
19_7_2024:17_16_58: Successfully imported neds dependencys
19_7_2024:17_16_58: Successfully imported palmerbet dependencys
19_7_2024:17_16_58: Successfully imported playup dependencys
19_7_2024:17_16_58: Successfully imported pointsbet dependencys
19_7_2024:17_16_58: Successfully imported sportsbett dependencys
19_7_2024:17_16_58: Successfully imported tab dependencys
